capability_key,display_name,lifecycle_stage,implemented,pipeline_key,freshness_days,rights_required,sort_order
FIRST_PARTY_TELEMETRY,First-party telemetry,OBSERVE,true,,2,true,10
SEARCH_CONSOLE,Search Console,OBSERVE,true,gsc,2,true,20
WEB_ANALYTICS,Web analytics,OBSERVE,true,ga4,2,true,30
SERP_INTELLIGENCE,SERP intelligence,UNDERSTAND,true,serp,2,true,40
EXTERNAL_SEARCH,External search,UNDERSTAND,true,external_search,8,true,50
COMPETITIVE_CONTENT,Competitive content,UNDERSTAND,true,competitive_content,8,true,60
COMPETITIVE_TECHNOLOGY,Competitive technology,UNDERSTAND,true,competitive_technology,8,true,70
COMPETITIVE_EVENTS,Competitive events,UNDERSTAND,true,competitive_events,2,true,80
AUTHORITY,Authority intelligence,UNDERSTAND,true,authority_intelligence,8,true,90
MARKET_INTELLIGENCE,Market intelligence,UNDERSTAND,true,market_intelligence,8,true,100
EMERGING_DEMAND,Emerging demand,UNDERSTAND,false,,0,true,110
OPPORTUNITY_DETECTION,Opportunity detection,DETECT,false,,0,true,120
AI_RECOMMENDATIONS,AI recommendations,RECOMMEND,false,,0,true,130
INTERVENTION_TRACKING,Intervention and experiment tracking,INTERVENE,false,,0,true,140
LEARNING,Outcome learning,LEARN,false,,0,true,150
